game_id,season_year,game_date,home_team_id,away_team_id
0021800468,2018-19,2018-12-20,1610612746,1610612742
0021800469,2018-19,2018-12-21,1610612766,1610612765
0021800470,2018-19,2018-12-21,1610612761,1610612739
0021800471,2018-19,2018-12-21,1610612751,1610612754
0021800472,2018-19,2018-12-21,1610612752,1610612737
0021800473,2018-19,2018-12-21,1610612738,1610612749
0021800474,2018-19,2018-12-21,1610612741,1610612753
0021800475,2018-19,2018-12-21,1610612759,1610612750
0021800476,2018-19,2018-12-21,1610612757,1610612762
0021800477,2018-19,2018-12-21,1610612758,1610612763
0021800478,2018-19,2018-12-21,1610612747,1610612740
0021800479,2018-19,2018-12-22,1610612746,1610612743
0021800480,2018-19,2018-12-22,1610612764,1610612756
0021800481,2018-19,2018-12-22,1610612755,1610612761
0021800482,2018-19,2018-12-22,1610612748,1610612749
0021800483,2018-19,2018-12-22,1610612745,1610612759
0021800484,2018-19,2018-12-22,1610612744,1610612742
0021800485,2018-19,2018-12-22,1610612762,1610612760
0021800486,2018-19,2018-12-23,1610612765,1610612737
0021800487,2018-19,2018-12-23,1610612754,1610612764
0021800488,2018-19,2018-12-23,1610612738,1610612766
0021800489,2018-19,2018-12-23,1610612751,1610612756
0021800490,2018-19,2018-12-23,1610612739,1610612741
0021800491,2018-19,2018-12-23,1610612753,1610612748
0021800492,2018-19,2018-12-23,1610612758,1610612740
0021800493,2018-19,2018-12-23,1610612760,1610612750
0021800494,2018-19,2018-12-23,1610612744,1610612746
0021800495,2018-19,2018-12-23,1610612757,1610612742
0021800496,2018-19,2018-12-23,1610612747,1610612763
0021800775,2018-19,2019-02-02,1610612765,1610612746
0021800776,2018-19,2019-02-02,1610612766,1610612741
0021800777,2018-19,2019-02-02,1610612753,1610612751
0021800778,2018-19,2019-02-02,1610612764,1610612749
0021800780,2018-19,2019-02-02,1610612739,1610612742
0021800779,2018-19,2019-02-02,1610612759,1610612740
0021800782,2018-19,2019-02-02,1610612744,1610612747
0021800783,2018-19,2019-02-02,1610612750,1610612743
0021800784,2018-19,2019-02-02,1610612756,1610612737
0021800786,2018-19,2019-02-02,1610612762,1610612745
0021800785,2018-19,2019-02-02,1610612758,1610612755
0021800781,2018-19,2019-02-02,1610612748,1610612754
0021800787,2018-19,2019-02-03,1610612752,1610612763
0021800788,2018-19,2019-02-03,1610612738,1610612760
0021800789,2018-19,2019-02-03,1610612761,1610612746
0021800790,2018-19,2019-02-04,1610612765,1610612743
0021800791,2018-19,2019-02-04,1610612764,1610612737
0021800792,2018-19,2019-02-04,1610612751,1610612749
0021800793,2018-19,2019-02-04,1610612740,1610612754
0021800794,2018-19,2019-02-04,1610612756,1610612745
0021800795,2018-19,2019-02-04,1610612758,1610612759
0021800796,2018-19,2019-02-05,1610612766,1610612746
